incident_name,has_accounts,has_addresses,has_transactions,num_hacker_accounts,num_related_addresses,num_transactions,num_normal_tx,num_internal_tx,num_erc20_tx,num_erc721_tx,total_eth_value,unique_from_addresses,unique_to_addresses,unique_contracts,earliest_timestamp,latest_timestamp,year,month,amount_stolen,description,data_quality,has_complete_data,earliest_date,latest_date,activity_duration_days
Plus_Token_Ponzi_2,True,True,True,1,125,159,88,0,68,3,1598341.7817063204,72,4,55,1576716593.0,1757556431.0,,,,,Medium,True,2019-12-19 00:49:53,2025-09-11 02:07:11,2093.05
Vulcan_Forged,True,True,True,1,48,159,84,28,47,0,214.72573700798637,26,22,8,1639348052.0,1644364468.0,,,,,Medium,True,2021-12-12 22:27:32,2022-02-08 23:54:28,58.06
Radiant_Capital_2024,True,True,True,1,116,151,147,0,0,4,0.0524564,114,1,1,1661962049.0,1687131791.0,2024.0,1.0,4.5,Radiant Capital Flash Loan Attack,Medium,True,2022-08-31 16:07:29,2023-06-18 23:43:11,291.32
Vee_Finance,True,True,True,1,17,149,18,4,127,0,8833.506124866239,11,8,5,1632164332.0,1667062019.0,,,,,Medium,True,2021-09-20 18:58:52,2022-10-29 16:46:59,403.91
FinNexus,True,True,True,1,30,146,68,5,73,0,275.23368156332947,22,22,3,1621260632.0,1622023187.0,,,,,Medium,True,2021-05-17 14:10:32,2021-05-26 09:59:47,8.83
PolyNetwork_2,True,True,True,1,120,137,118,0,14,5,331.148530719065,109,2,10,1628684119.0,1695689339.0,,,,,Medium,True,2021-08-11 12:15:19,2023-09-26 00:48:59,775.52
DAOMaker,True,True,True,1,48,124,74,2,48,0,-1.3710959700705707,24,29,15,1630700839.0,1681497875.0,,,,,Medium,True,2021-09-03 20:27:19,2023-04-14 18:44:35,587.93
Popsicle_Swap,True,True,True,1,18,123,105,6,12,0,8274.103712915,6,12,7,1628028888.0,1667061947.0,,,,,Medium,True,2021-08-03 22:14:48,2022-10-29 16:45:47,451.77
bZx_PrivKey,True,True,True,1,32,123,60,12,51,0,939.0111541342753,19,25,8,1636112648.0,1644370082.0,,,,,Medium,True,2021-11-05 11:44:08,2022-02-09 01:28:02,95.57
xToken,True,True,True,1,19,118,86,14,18,0,5854.999999999998,9,11,6,1620825175.0,1699655507.0,,,,,Medium,True,2021-05-12 13:12:55,2023-11-10 22:31:47,912.39
LCX,True,True,True,1,27,118,78,14,26,0,2142.5701,8,19,10,1641680635.0,1734411275.0,,,,,Medium,True,2022-01-08 22:23:55,2024-12-17 04:54:35,1073.27
Fake_5041,True,True,True,1,74,117,95,6,16,0,-0.31555497026331847,58,19,5,1641790804.0,1667061527.0,,,,,Medium,True,2022-01-10 05:00:04,2022-10-29 16:38:47,292.49
Malicious_Actor_(Exploit_Abuser),True,True,True,1,50,116,55,6,55,0,3.216132064693644,31,26,12,1637981424.0,1667061707.0,,,,,Medium,True,2021-11-27 02:50:24,2022-10-29 16:41:47,336.58
DEGO_and_Cocos,True,True,True,1,34,113,44,18,51,0,1630.0874599695662,14,23,7,1644449148.0,1746094031.0,,,,,Medium,True,2022-02-09 23:25:48,2025-05-01 10:07:11,1176.45
Furucombo_2,True,True,True,1,12,106,93,3,10,0,10867.085058761835,7,7,3,1614454540.0,1667061971.0,,,,,Medium,True,2021-02-27 19:35:40,2022-10-29 16:46:11,608.88
Cream_Finance_Flash_Loan_2,True,True,True,1,23,102,60,0,28,14,7693.289901499999,14,7,8,1635364741.0,1756582871.0,,,,,Medium,True,2021-10-27 19:59:01,2025-08-30 19:41:11,1402.99
Yearn_Finance_2023,True,True,True,1,54,97,40,4,53,0,1439.9974123238865,20,23,25,1681365155.0,1754676059.0,2023.0,4.0,11.5,Yearn Finance Misconfiguration Exploit,Low,True,2023-04-13 05:52:35,2025-08-08 18:00:59,848.51
THORChain_-,True,True,True,1,4,95,48,47,0,0,17958.822697340725,4,4,0,1626356793.0,1626378159.0,,,,,Low,True,2021-07-15 13:46:33,2021-07-15 19:42:39,0.25
